id;bolum_baslik;dokuman;puan;video_link;sure
1;Fantastic;../fake-data/blob/hipster.txt;92074;Rubber Fresh;Track Engineer
2;Dynamic Lead;../fake-data/blob/hipster.txt;28965;Kina input;Checking
3;Planner Shoes;../fake-data/blob/hipster.txt;98120;Quality;magnetic Sports
4;deliver Ball wireless;../fake-data/blob/hipster.txt;17105;architecture;collaborative
5;Associate Dollar;../fake-data/blob/hipster.txt;34913;override;Infrastructure Pizza syndicate
6;Function-based Accounts up;../fake-data/blob/hipster.txt;82806;e-commerce;success optical Operative
7;Georgia;../fake-data/blob/hipster.txt;67517;Communications Executive;Vermont synthesize
8;Future Ridges Cambridgeshire;../fake-data/blob/hipster.txt;34644;optimizing Refined;Account transmitting
9;Liaison;../fake-data/blob/hipster.txt;1692;Eritrea wireless;Buckinghamshire COM
10;Practical dynamic SAS;../fake-data/blob/hipster.txt;46369;front-end;Handmade withdrawal maximize
